,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.209999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,-5.98,,,,,,,,,,,,,,,,-4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,-5.41,,-4.59,,,,,3.98,,,4.07,,,4.15,,,0.0,0.0,,0.0,,,,0.0,,,,,,,5.69,-4.15,,,4.11,,,,,,,,,5.16,,,3.78,,,4.59,-4.43,,,5.81,,0.0,,,,,,,-5.77,,,0.0,,,0.0,,-5.08,,4.47,0.0,,0.0,,0.0,4.76,,,,,,,5.0,-5.28,5.85,5.12,,,,,,,,,,,0.0,0.0,,,,,,4.67,-5.37,5.28,,,,,4.59,,,,,0.0,,,,,,,0.0,0.0,,,,,,5.61,-4.51,0.0,0.0,,0.0,5.93,4.19
4,,,,,,,,,,,,,,,,,,,-7.72,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0
5,,,,,,,,,,,,,,,,,,,4.39,,,,1.67,,,,,,,,,4.43,,,,4.19,,,,,,,,,,,,,5.08,2.48,,,9.41,,,,,-4.19,,,,9.67,3.9,,,,,9.21,-4.17,1.71,,6.38,,,,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,,6.18,-3.48,8.11,4.94,3.98,,,,,,4.49,,,,,,,,,,,,3.9,5.55,,3.96,,-3.09,0.0,,,,,,0.0,,,,,,,,,,,,3.19,,0.0,3.41,,-2.32,,0.0,2.93
6,,,,,,,-4.45,7.54,,,,,-9.65,,-7.26,7.83,-8.19,0.0,0.0,,9.9,-5.26,3.35,,2.87,4.86,,-7.99,0.0,2.87,,-9.17,-7.34,-6.36,0.0,-5.1,9.57,,-6.44,1.85,8.96,0.0,,-9.78,0.0,2.54,0.79,0.0,0.39,-6.52,,,-4.82,0.0,0.0,-2.78,0.0,-9.04,3.07,2.74,,0.87,0.91,-6.81,8.43,,,-1.85,0.0,0.0,8.6,0.0,,,-5.83,,-1.57,-2.05,-3.8,,5.06,-3.9000000000000004,-4.65,,9.17,-2.46,-4.57,0.0,,,,,-5.79,,,0.0,6.16,-8.43,0.0,,-9.78,,-15.940000000000001,4.86,-1.32,,-7.91,2.78,2.95,0.0,0.0,5.1,-3.39,-5.67,-3.35,,0.67,-5.47,-9.25,-2.3,2.66,0.0,8.92,,-8.56,1.24,-1.4,-1.57,0.0,5.1,2.54,1.69,,4.41,-8.88,2.3999999999999995,,19.78,,,,-9.04,1.61,-3.23,,,,0.0,-1.97,1.89,0.0,0.0,7.38,3.19,-9.33,-7.26,-9.13,-8.19
7,,,,,,,,,,,,,,,1.71,,,,6.63,,5.61,,,,,,,,,,,2.22,,,6.0,,,,,,,,,,,,,0.0,,,,,1.16,,,,,,,,,7.66,,,5.14,,,6.73,,,,3.58,,,,,,1.54,,,,,-2.91,,,,3.58,,,,,,,,,,2.89,,,,,,,5.47,7.05,6.57,2.58,,,,,,,4.82,,,,,,,,,,,4.21,4.04,6.28,,0.0,,,5.41,,,,,,0.0,,,,,,,,,,2.78,3.98,,2.22,6.08,10.0,,,6.3,4.11,8.25
8,,,,,,,,,,,,,,,,,,,7.68,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,-2.74,,,,,,,,,,,,,,,,4.78,,,,,,,,,,,,,,,-7.22,,,-2.05,,,,,,,,,,,,,,,,-8.6,,,2.66,,,,,,,,,,,,,,,,,,,,,,-3.92,,,,,,,,,,,5.96,,-3.68,,,,,,,,,,8.6,,,,,,,,,,-2.09,,,,,-3.72,,,,,,,,,,,,,,,,,,,,,,,,,,-3.68
10,,,,,,,,,,,,,,,,,,,-7.73,,4.47,,,,,5.67,,,,,,,,,-4.89,,,,,,,,,,,,,,,-6.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,,,,,,-5.96,-1.28,,,,,,,,,,,,,,,,,,,,2.77,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,2.34,,,,-2.34
11,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,-6.71,,,,,,,,,,,,,,,,,,-2.72,,,,,,,,,,,,,,,,,,,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,-2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,-5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,5.12,,,,,,,,,,,,,4.33,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,8.92,,,,,,7.9,,,,4.61,,,,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,5.59,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,3.83,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,,,,,,,,,,,,,,,,,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,-1.13,,,,,,,,,,,,,5.67,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.85,,,,,,5.6,,,,5.67,,,,,,,,,,,,,,,,,7.23,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
