,0
0,1.0
1,1.0
2,4.0
3,47.0
4,13.0
5,33.0
6,112.0
7,34.0
8,5.0
9,13.0
10,13.0
11,5.0
12,5.0
13,3.0
14,1.0
15,9.0
16,4.0
17,2.0
18,8.0
19,5.0
20,4.0
21,2.0
22,4.0
23,15.0
24,9.0
25,2.0
26,5.0
27,1.0
28,1.0
29,4.0
30,7.0
31,11.0
32,7.0
33,1.0
34,1.0
35,19.0
36,6.0
37,5.0
38,5.0
39,75.0
40,7.0
41,1.0
42,2.0
43,3.0
44,28.0
45,2.0
46,100.0
47,43.0
48,1.0
49,1.0
50,3.0
51,3.0
52,3.0
53,17.0
54,3.0
55,21.0
56,19.0
57,6.0
58,5.0
59,6.0
60,3.0
61,2.0
62,1.0
63,14.0
64,45.0
65,48.0
66,36.0
67,10.0
68,34.0
69,2.0
70,24.0
71,2.0
72,3.0
73,15.0
74,2.0
75,8.0
76,1.0
77,35.0
78,10.0
79,6.0
80,15.0
81,2.0
82,7.0
83,2.0
84,5.0
85,3.0
86,5.0
87,13.0
88,73.0
89,9.0
90,18.0
91,4.0
92,67.0
93,8.0
94,12.0
95,3.0
96,2.0
97,2.0
98,2.0
99,8.0
100,2.0
101,4.0
102,7.0
103,5.0
104,18.0
105,1.0
106,2.0
107,4.0
108,13.0
109,7.0
110,121.0
111,2.0
112,3.0
113,3.0
114,2.0
115,3.0
116,16.0
117,30.0
118,2.0
119,3.0
120,28.0
121,1.0
122,1.0
123,15.0
124,16.0
125,42.0
126,3.0
127,2.0
128,3.0
129,3.0
130,3.0
131,4.0
132,5.0
133,6.0
134,2.0
135,2.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,2.0
144,7.0
145,8.0
146,2.0
147,1.0
148,7.0
149,16.0
150,57.0
151,33.0
152,15.0
153,46.0
154,18.0
155,26.0
156,6.0
157,3.0
158,49.0
159,2.0
160,84.0
161,2.0
162,33.0
163,27.0
164,31.0
165,14.0
166,48.0
167,29.0
168,22.0
169,79.0
170,6.0
171,14.0
172,35.0
173,17.0
174,12.0
175,4.0
176,14.0
177,19.0
178,4.0
179,3.0
180,13.0
181,34.0
182,38.0
183,11.0
184,18.0
185,2.0
186,3.0
187,7.0
188,1.0
189,21.0
190,55.0
191,11.0
192,18.0
193,79.0
194,14.0
195,14.0
196,32.0
197,2.0
198,1.0
199,7.0
200,2.0
201,58.0
202,4.0
203,8.0
204,3.0
205,1.0
206,2.0
207,52.0
208,1.0
